FILE_NAME,FIELD_NAME,GOLD,EXTRACTED,RESULT,REASON,SCORE
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_2.html,product,VOLUPTATE INVENTORE A,,FN,FAIL_MODEL,undefined
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_2.html,quantity,391771.00,391771.00,TP,EXTRACT_RULES,0.5480
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_2.html,total_amount,959783.60,959783.60,TP,EXTRACT_RULES,0.7130
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_2.html,supplier_name,FOWLER-COLLIER,,FN,FAIL_MODEL,undefined
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_2.html,invoice_number,36848788,36848788,TP,EXTRACT_MODEL,0.7642
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_2.html,email,crewedit@iqulfsdoil.edu,crewedit@iqulfsdoil.edu,TP,EXTRACT_MODEL,0.8542
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_2.html,invoice_date,01/22/2016,01/22/2016,TP,EXTRACT_RULES,0.6374
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_3.html,product,PERSPICIATIS OPTIO ULLAM QUIBUSDAM QUI,,FN,FAIL_MODEL,undefined
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_3.html,quantity,70445.00,70445.00,TP,EXTRACT_RULES,0.6664
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_3.html,total_amount,622043.46,622043.46,TP,EXTRACT_RULES,0.6894
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_3.html,supplier_name,"CARTER, THOMPSON AND CRUZ","CARTER, THOMPSON AND CRUZ",TP,EXTRACT_MODEL,0.5705
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_3.html,invoice_number,54391757,54391757,TP,EXTRACT_MODEL,0.8264
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_3.html,email,credit@iqulfoil.com,credit@iqulfoil.com,TP,EXTRACT_MODEL,0.8573
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_3.html,invoice_date,07/26/2005,07/26/2005,TP,EXTRACT_MODEL,0.8475
389057_1526301926_1.html,product,CDW CUSTOM HW SRVR REQ4443 Manufacturer Part Number REQ4443,CDW CUSTOM HW SRVR REQ4443 Manufacturer Part Number REQ4443,TP,EXTRACT_MODEL,0.6959
389057_1526301926_1.html,product,HP ETHERNET 10GB 2P 560SFP ADAPTER Manufacturer Part Number 665249-B21 Serial No: MYI5410HLX,HP ETHERNET 10GB 2P 560SFP ADAPTER Manufacturer Part Number 665249-B21 Serial No: MYI5410HLX,TP,EXTRACT_MODEL,0.7264
389057_1526301926_1.html,product,HP DL380 GEN9 24SFF CUSTOM SRV Manufacturer Part Number EB172843 Serial No: MXQ5510015,HP DL380 GEN9 24SFF CUSTOM SRV Manufacturer Part Number EB172843 Serial No: MXQ5510015,TP,EXTRACT_MODEL,0.7071
389057_1526301926_1.html,product,HP 81 E 8GB SP PCI-E FC HBA Manufacturer Part Number AJ762B Serial No: 5CF5430GDD Serial No: 5CF5430GXS,HP 81 E 8GB SP PCI-E FC HBA Manufacturer Part Number AJ762B Serial No: 5CF5430GDD Serial No: 5CF5430GXS,TP,EXTRACT_MODEL,0.7356
389057_1526301926_1.html,product,HP GEN8 600GB 6GSAS 10K 2.5 SC ENT Manufacturer Part Number 652583-B21 Serial No: 6C3539E6BM Serial No: 6C3539E659,HP GEN8 600GB 6GSAS 10K 2.5 SC ENT Manufacturer Part Number 652583-B21 Serial No: 6C3539E6BM Serial No: 6C3539E659,TP,EXTRACT_MODEL,0.7253
389057_1526301926_1.html,quantity,2.00,2.00,TP,EXTRACT_RULES,0.6921
389057_1526301926_1.html,quantity,1.00,1.00,TP,EXTRACT_RULES,0.7403
389057_1526301926_1.html,quantity,1.00,1.00,TP,EXTRACT_RULES,0.7532
389057_1526301926_1.html,quantity,2.00,2.00,TP,EXTRACT_RULES,0.5914
389057_1526301926_1.html,quantity,1.00,1.00,TP,EXTRACT_RULES,0.6861
389057_1526301926_1.html,total_amount,358838.10,358838.10,TP,EXTRACT_RULES,0.7323
389057_1526301926_1.html,total_amount,358838.10,,FN,FAIL_MODEL,undefined
389057_1526301926_1.html,price,0.00,0.00,TP,EXTRACT_MODEL,0.7625
389057_1526301926_1.html,price,482.04,482.04,TP,EXTRACT_MODEL,0.7338
389057_1526301926_1.html,price,224.54,224.54,TP,EXTRACT_MODEL,0.7027
389057_1526301926_1.html,price,287.99,287.99,TP,EXTRACT_MODEL,0.7338
389057_1526301926_1.html,price,12021.83,12021.83,TP,EXTRACT_RULES,0.6724
389057_1526301926_1.html,supplier_name,Taylor Group,Taylor Group,TP,EXTRACT_MODEL,0.8331
389057_1526301926_1.html,invoice_number,RTI8416,RTI8416,TP,EXTRACT_MODEL,0.5989
389057_1526301926_1.html,email,achwerremittance@cdqwew.com,achwerremittance@cdqwew.com,TP,EXTRACT_MODEL,0.7818
389057_1526301926_1.html,invoice_date,02/27/2010,02/27/2010,TP,EXTRACT_RULES,0.6791
389057_1526301926_2.html,product,HP GEN8 600GB 6GSAS 10K 2.5 SC ENT Manufacturer Part Number 652583-B21 Serial No: 6C3539E6BM Serial No: 6C3539E659,HP GEN8 600GB 6GSAS 10K 2.5 SC ENT Manufacturer Part Number 652583-B21 Serial No: 6C3539E6BM Serial No: 6C3539E659,TP,EXTRACT_MODEL,0.7253
389057_1526301926_2.html,product,HP ETHERNET 10GB 2P 560SFP ADAPTER Manufacturer Part Number 665249-B21 Serial No: MYI5410HLX,HP ETHERNET 10GB 2P 560SFP ADAPTER Manufacturer Part Number 665249-B21 Serial No: MYI5410HLX,TP,EXTRACT_MODEL,0.7264
389057_1526301926_2.html,product,HP DL380 GEN9 24SFF CUSTOM SRV Manufacturer Part Number EB172843 Serial No: MXQ5510015,HP DL380 GEN9 24SFF CUSTOM SRV Manufacturer Part Number EB172843 Serial No: MXQ5510015,TP,EXTRACT_MODEL,0.7071
389057_1526301926_2.html,product,CDW CUSTOM HW SRVR REQ4443 Manufacturer Part Number REQ4443,CDW CUSTOM HW SRVR REQ4443 Manufacturer Part Number REQ4443,TP,EXTRACT_MODEL,0.6959
389057_1526301926_2.html,product,HP 81 E 8GB SP PCI-E FC HBA Manufacturer Part Number AJ762B Serial No: 5CF5430GDD Serial No: 5CF5430GXS,HP 81 E 8GB SP PCI-E FC HBA Manufacturer Part Number AJ762B Serial No: 5CF5430GDD Serial No: 5CF5430GXS,TP,EXTRACT_MODEL,0.7356
389057_1526301926_2.html,quantity,2.00,2.00,TP,EXTRACT_RULES,0.5914
389057_1526301926_2.html,quantity,2.00,2.00,TP,EXTRACT_RULES,0.6921
389057_1526301926_2.html,quantity,1.00,1.00,TP,EXTRACT_RULES,0.6861
389057_1526301926_2.html,quantity,1.00,1.00,TP,EXTRACT_RULES,0.7403
389057_1526301926_2.html,quantity,1.00,1.00,TP,EXTRACT_RULES,0.7532
389057_1526301926_2.html,total_amount,974186.91,974186.91,TP,EXTRACT_RULES,0.8697
389057_1526301926_2.html,price,482.04,482.04,TP,EXTRACT_MODEL,0.7338
389057_1526301926_2.html,price,224.54,224.54,TP,EXTRACT_MODEL,0.7027
389057_1526301926_2.html,price,287.99,287.99,TP,EXTRACT_MODEL,0.7338
389057_1526301926_2.html,price,0.00,0.00,TP,EXTRACT_MODEL,0.7625
389057_1526301926_2.html,price,12021.83,12021.83,TP,EXTRACT_RULES,0.6724
389057_1526301926_2.html,supplier_name,Watson Inc,Watson Inc,TP,EXTRACT_MODEL,0.8328
389057_1526301926_2.html,invoice_number,RBH1274,RBH1274,TP,EXTRACT_MODEL,0.6189
389057_1526301926_2.html,email,dgwis@dkldf.edu,dgwis@dkldf.edu,TP,EXTRACT_MODEL,0.7310
389057_1526301926_2.html,invoice_date,11/05/1991,11/15/1991,"FP,FN",FAIL_RULES,0.7701
389842_advanced_1526302224_1.html,product,Exercitationem sit nam labore nesciunt. Exercitationem sit nam labore nesciunt. Quidem cupiditate eligendi.,Exercitationem sit nam labore nesciunt. Exercitationem sit nam labore nesciunt. Quidem cupiditate eligendi.,TP,EXTRACT_MODEL,0.8303
389842_advanced_1526302224_1.html,total_amount,1834.00,1834.00,TP,EXTRACT_RULES,0.7345
389842_advanced_1526302224_1.html,price,55.99,55.99,TP,EXTRACT_MODEL,0.7491
389842_advanced_1526302224_1.html,supplier_name,Barnes PLC LLC,Barnes PLC LLC,TP,EXTRACT_RULES,0.8382
389842_advanced_1526302224_1.html,invoice_number,PII9506,PII9506,TP,EXTRACT_MODEL,0.7077
389842_advanced_1526302224_1.html,email,achremittance@cdw.com,achremittance@cdw.com,TP,EXTRACT_MODEL,0.7873
389842_advanced_1526302224_1.html,invoice_date,08/29/1996,08/29/1996,TP,EXTRACT_RULES,0.7248
389842_advanced_1526302224_2.html,product,Temporibus occaecati sit dolore iure quo. Temporibus occaecati sit dolore iure quo. Laborum ab fuga voluptatibus ipsam.,Temporibus occaecati sit dolore iure quo. Temporibus occaecati sit dolore iure quo. Laborum ab fuga voluptatibus ipsam.,TP,EXTRACT_MODEL,0.7524
389842_advanced_1526302224_2.html,product,Nostrum porro beatae. Nostrum porro beatae. Consequuntur asperiores voluptatum vitae.,Nostrum porro beatae. Nostrum porro beatae. Consequuntur asperiores voluptatum vitae.,TP,EXTRACT_MODEL,0.7343
389842_advanced_1526302224_2.html,total_amount,2137.00,2137.00,TP,EXTRACT_RULES,0.7345
389842_advanced_1526302224_2.html,price,69.78,69.78,TP,EXTRACT_MODEL,0.7168
389842_advanced_1526302224_2.html,price,21.32,21.32,TP,EXTRACT_MODEL,0.7416
389842_advanced_1526302224_2.html,supplier_name,"Cooper, Allison and Jackson LLC",,FN,FAIL_MODEL,undefined
389842_advanced_1526302224_2.html,invoice_number,KOP8574,,FN,FAIL_MODEL,undefined
389842_advanced_1526302224_2.html,email,achremittance@cdwweew.com,achremittance@cdwweew.com,TP,EXTRACT_MODEL,0.7835
389842_advanced_1526302224_2.html,invoice_date,10/15/1970,10/15/1970,TP,EXTRACT_RULES,0.7347
b_424261_1526302379_1.html,product,2816999 HP ETHERNET 10GB 2P 560SFP ADAPT,,FN,FAIL_MODEL,undefined
b_424261_1526302379_1.html,quantity,3.00,,FN,FAIL_MODEL,undefined
